ticketNumber,createdTime,closedTime,status,channel,threadCount,motivo,detalhe,submotivo,localizador,filial,linha,solucao,servico,dataViagem
1238078,2026-03-16T13:41:42.000Z,2026-03-25T11:50:45.000Z,Fechado - Procedente,Fale Conosco,3,Viagem,Problema Mecânico,Veículo,1HXBG5,Real Expresso,GO/ANAPOLIS - RJ/RIO DE JANEIRO 200422,Cortesia,20202770,2026-03-13T18:15:00.000Z
1239828,2026-03-17T14:16:09.000Z,2026-03-22T18:18:25.000Z,Fechado - Procedente,Consumidor Gov,6,Viagem,Problema Mecânico,Veículo,1HMR9U,Util,MG/BELO HORIZONTE - RJ/RIO DE JANEIRO 150436,Cortesia,15304750,2026-03-02T00:00:00.000Z
1247359,2026-03-22T21:58:37.000Z,2026-03-30T14:50:45.000Z,Fechado - Procedente,0800 - UTIL,3,Viagem,Ar condicionado,Veículo,1J35UE,Util,MT/CUIABA - RJ/RIO DE JANEIRO,Cortesia,15305150,2026-03-22T15:00:00.000Z
1248225,2026-03-23T14:47:55.000Z,2026-03-30T14:52:10.000Z,Duplicado,0800 - UTIL,1,Viagem,Problema Mecânico,Veículo,1J35UE,Util,MT/CUIABA - RJ/RIO DE JANEIRO,,15305150,2026-03-22T15:00:00.000Z
1252327,2026-03-26T19:30:53.000Z,2026-03-26T19:57:22.000Z,Fechado - Procedente,0800 - Real Expresso,3,Viagem,Problema Mecânico,Veículo,1HWB4K,Real Expresso,GO/ANAPOLIS - RJ/RIO DE JANEIRO 200422,Cortesia,20402770,
1273979,2026-04-09T19:28:10.000Z,2026-04-15T12:11:36.000Z,Fechado - Sem Interação,0800 - Expresso Guanabara,8,Consulta,,Protocolo,1FER0S,Sampaio,a RJ/RIO DE JANEIRO - SP/PRAIA GRANDE,,35301835,2026-01-31T02:00:00.000Z
1299846,2026-04-27T14:26:12.000Z,2026-05-06T17:15:38.000Z,Fechado - Procedente,Fale Conosco,6,Viagem,Problema Mecânico,Veículo,1JET25,Util,DF/BRASILIA - RJ/RIO DE JANEIRO 150457,Cortesia,15304355,2026-04-26T15:30:00.000Z
1300357,2026-04-27T17:46:08.000Z,2026-04-27T17:56:44.000Z,Fechado - Procedente,Agências,1,Viagem,Problema Mecânico,Veículo,1JXW8Y,REAL EXPRESSO,GO/ANAPOLIS - RJ/RIO DE JANEIRO,Cortesia,20202770,
1300420,2026-04-27T18:01:05.000Z,2026-05-06T17:59:18.000Z,Duplicado,WhatsApp Chat,1,Viagem,Problema Mecânico,Veículo,1JET25,Util,DF/BRASILIA - RJ/RIO DE JANEIRO 150457,,15304355,2026-04-26T15:30:00.000Z
1305723,2026-04-30T15:59:31.000Z,2026-05-08T17:51:51.000Z,Fechado - Procedente,Fale Conosco,6,Viagem,Problema Mecânico,Veículo,1JX0QW,Sampaio,RJ/RIO DE JANEIRO - SP/PRAIA GRANDE 350254,Desconto,35421850,2026-04-30T11:30:00.000Z
